# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jun  3 21:14:07 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
#
pl_name,default_flag,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj
11 Com b,1,Radial Velocity,2007,326.03000000,,,6165.60000,19.40000
11 UMi b,1,Radial Velocity,2009,516.21997000,,,4684.81420,14.74000
14 And b,1,Radial Velocity,2008,185.84000000,,,1525.50000,4.80000
14 Her b,1,Radial Velocity,2002,1773.40002000,,,1481.08780,4.66000
16 Cyg B b,1,Radial Velocity,1996,798.50000000,,,565.73740,1.78000
18 Del b,1,Radial Velocity,2008,993.30000000,,,3273.50000,10.30000
1RXS J160929.1-210524 b,1,Imaging,2008,,,,3000.00000,8.00000
24 Boo b,1,Radial Velocity,2018,30.35060000,,,289.22530,0.91000
24 Sex b,1,Radial Velocity,2010,452.80000000,,,632.46000,1.99000
24 Sex c,1,Radial Velocity,2010,883.00000000,,,273.32000,0.86000
2MASS J01033563-5515561 AB b,1,Imaging,2013,,,,4131.79000,13.00000
2MASS J01225093-2439505 b,1,Imaging,2013,,,,7786.50000,24.50000
2MASS J02192210-3925225 b,1,Imaging,2015,,16.141,1.440,4417.83700,13.90000
2MASS J04414489+2301513 b,1,Imaging,2010,,,,2383.60000,7.50000
2MASS J12073346-3932539 b,1,Imaging,2004,,,,1589.15000,5.00000
2MASS J19383260+4603591 b,1,Eclipse Timing Variations,2015,416.00000000,,,603.87700,1.90000
2MASS J21402931+1625183 A b,1,Imaging,2009,7336.50000000,10.310,0.920,6657.48000,20.95000
2MASS J22362452+4751425 b,1,Imaging,2016,,,,3972.87500,12.50000
30 Ari B b,1,Radial Velocity,2009,335.10001000,,,4392.41060,13.82000
4 UMa b,1,Radial Velocity,2006,269.30000000,,,2256.50000,7.10000
42 Dra b,1,Radial Velocity,2008,479.10000000,,,1233.13000,3.88000
47 UMa b,1,Radial Velocity,1996,1078.00000000,,,804.08000,2.53000
47 UMa c,1,Radial Velocity,2001,2391.00000000,,,171.62100,0.54000
47 UMa d,1,Radial Velocity,2009,14002.00000000,,,521.22000,1.64000
51 Eri b,1,Imaging,2015,,,,635.66000,2.00000
51 Peg b,1,Radial Velocity,1995,4.23078500,,,150.00900,0.47200
55 Cnc b,1,Radial Velocity,1996,14.65160000,,,255.40000,0.80360
55 Cnc c,1,Radial Velocity,2004,44.39890000,,,51.20000,0.16110
55 Cnc d,1,Radial Velocity,2002,5574.20000000,,,991.60000,3.12000
55 Cnc e,1,Radial Velocity,2004,0.73654740,1.875,0.167,7.99000,0.02514
55 Cnc f,1,Radial Velocity,2007,259.88000000,,,47.80000,0.15030
6 Lyn b,1,Radial Velocity,2008,934.30000000,,,638.83830,2.01000
61 Vir b,1,Radial Velocity,2009,4.21500000,,,5.10000,0.01600
61 Vir c,1,Radial Velocity,2009,38.02100000,,,18.20000,0.05700
61 Vir d,1,Radial Velocity,2009,123.01000000,,,22.90000,0.07200
7 CMa b,1,Radial Velocity,2011,735.10000000,,,587.98550,1.85000
